chrom	start	end	gene_name	strand	tss	mean_beta	n_cpg
chr1	659693	660693		+	660693	0.0	37
chr1	675213	676213		-	676213	0.9432371256143391	141
chr1	701861	702861		-	702861	0.029967876039304613	105
chr1	708442	709442		+	709442	0.8020077520922829	89
chr1	738479	739479		-	739479	0.263042513042513	65
chr1	726716	727716		-	727716	0.947455602050681	57
chr1	735361	736361		-	736361	0.883435545935546	42
chr1	739147	740147		+	740147	0.0	41
chr1	755245	756245		-	756245	0.0554029304029304	52
chr1	743122	744122		-	744122	0.8835020423881501	47
chr1	755386	756386		+	756386	0.0	52
chr1	761864	762864		+	762864	0.7436450186450186	37
chr1	780044	781044		-	781044	0.0141025641025641	26
chr1	770293	771293		-	771293	0.9151012142391451	87
chr1	793097	794097		-	794097	0.8913840315374842	33
chr1	804756	805756		-	805756	0.02153866248693835	58
chr1	808186	809186		+	809186	0.9076140880006126	62
chr1	830265	831265		-	831265	0.024551131928181105	61
chr1	830459	831459		+	831459	0.011085915847820607	63
chr1	838223	839223		-	839223	0.12608461278674046	94
chr1	836682	837682		-	837682	0.9444828518640735	26
chr1	839277	840277		+	840277	0.07893965819603999	53
chr1	852206	853206		-	853206	0.9474748788378682	112
chr1	851095	852095		+	852095	0.9407221357867345	130
chr1	856799	857799		+	857799	0.8656667488225295	75
chr1	867933	868933		-	868933	0.7981637806637807	50
chr1	866592	867592		+	867592	0.9134713273233196	62
chr1	869049	870049		+	870049	0.6296016483516483	24
chr1	883060	884060		+	884060	0.8670286734870067	30
chr1	905135	906135		+	906135	0.035173569427771105	70
chr1	945665	946665		+	946665	0.0863467887268487	58
chr1	974128	975128		-	975128	0.9468149288982624	90
chr1	1008369	1009369		-	1009369	0.0077777777777777776	80
chr1	1033641	1034641		-	1034641	0.3099323454652484	141
chr1	1032938	1033938		+	1033938	0.8945207948226523	75
chr1	1047235	1048235		+	1048235	0.9518633540372671	7
chr1	1065290	1066290		-	1066290	0.9319330099443871	115
chr1	1065676	1066676		+	1066676	0.8888002012375444	63
chr1	1092466	1093466		-	1093466	0.0	22
chr1	1126231	1127231		-	1127231	0.015451052215758095	34
chr1	1106722	1107722		+	1107722	0.8787486073229769	52
chr1	1125979	1126979		+	1126979	0.03475452289177779	45
chr1	1133370	1134370		+	1134370	0.8831478045763761	28
chr1	1157725	1158725		-	1158725	0.2257187257187257	13
chr1	1169199	1170199		+	1170199	0.8225592253090938	53
chr1	1213892	1214892		-	1214892	0.8451624160863289	46
chr1	1324475	1325475		-	1325475	0.0087719298245614	19
chr1	1324567	1325567		+	1325567	0.004273504273504272	39
chr1	1342549	1343549		-	1343549	0.3651587301587301	30
chr1	1348681	1349681		+	1349681	0.7908137497423212	28
chr1	1352692	1353692		-	1353692	0.7035213828317277	29
chr1	1438078	1439078		-	1439078	0.8651529635870403	47
chr1	1391441	1392441		+	1392441	0.8649389045882211	55
chr1	1452395	1453395		-	1453395	0.8818714331518401	35
chr1	1453896	1454896		+	1454896	0.7945923038314343	46
chr1	1481966	1482966		-	1482966	0.6405848780848782	36
chr1	1483022	1484022		+	1484022	0.8537896825396825	20
chr1	1484589	1485589		-	1485589	0.5087489306923377	32
chr1	1617850	1618850		-	1618850	0.8594687618735427	36
chr1	1647129	1648129		-	1648129	0.608565518405944	47
chr1	1623773	1624773		+	1624773	0.5484655179161283	53
chr1	1640990	1641990		+	1641990	0.9211860829651024	73
chr1	1646799	1647799		+	1647799	0.7843714387464388	60
chr1	1662727	1663727		+	1663727	0.0	7
chr1	1749925	1750925		+	1750925	0.6566039385451151	50
chr1	1829823	1830823		-	1830823	0.10054894652417873	57
chr1	1790919	1791919		-	1791919	0.712092006326555	42
chr1	1830109	1831109		+	1831109	0.016971232937619492	42
chr1	1852417	1853417		-	1853417	0.39464285714285713	8
chr1	1854530	1855530		+	1855530	0.6284174737299737	48
chr1	1967240	1968240		-	1968240	0.015873015873015872	42
chr1	1970907	1971907		-	1971907	0.2624209124209124	22
chr1	1997655	1998655		-	1998655	0.5827727077727078	37
chr1	1994877	1995877		+	1995877	0.8708050132832008	33
chr1	2007178	2008178		+	2008178	0.843653621359571	40
chr1	2027167	2028167		+	2028167	0.03518518518518519	12
chr1	2073662	2074662		-	2074662	0.6768675768675768	39
chr1	2069213	2070213		+	2070213	0.3047859547859547	18
chr1	2300463	2301463		-	2301463	0.3433257918552036	17
chr1	2257113	2258113		+	2258113	0.0	9
chr1	2270152	2271152		+	2271152	0.043229497774952316	11
chr1	2312828	2313828		+	2313828	0.6348340538138332	32
chr1	2315577	2316577		-	2316577	0.4021245642842739	29
chr1	2522086	2523086		+	2523086	0.5843336151028459	13
chr1	2576603	2577603		-	2577603	0.8273172581296151	38
chr1	2568767	2569767		-	2569767	0.9190294768081146	74
chr1	2570243	2571243		+	2571243	0.19119114350767427	71
chr1	2570698	2571698		+	2571698	0.005555555555555556	56
chr1	2629076	2630076		+	2630076	0.6865118921383627	50
chr1	2668270	2669270		-	2669270	0.8890069366637826	72
chr1	2689579	2690579		+	2690579	0.7926456480027908	70
chr1	2716032	2717032		-	2717032	0.8792762671052144	54
chr1	2770177	2771177		+	2771177	0.8141288273278688	107
chr1	2826745	2827745		-	2827745	0.6697696744034866	61
chr1	2958430	2959430		+	2959430	0.4212839822214822	48
chr1	3133881	3134881		-	3134881	0.06084630967771725	56
chr1	3055791	3056791		+	3056791	0.8022533648473498	49
chr1	3068098	3069098		-	3069098	0.8811285528197292	26
chr1	3134109	3135109		+	3135109	0.03784244467017576	49
chr1	3158976	3159976		-	3159976	0.06693442973435233	24
chr1	3161388	3162388		+	3162388	0.6716713417776999	96
chr1	3174230	3175230		-	3175230	0.9035661787771762	35
chr1	3257974	3258974		-	3258974	0.19687289206519976	78
chr1	3263050	3264050		+	3264050	0.8941687137702173	35
chr1	3283344	3284344		+	3284344	0.2557174532784289	41
chr1	3307095	3308095		-	3308095	0.02793679189028026	43
chr1	3293407	3294407		+	3294407	0.9366232197753936	46
chr1	3367809	3368809		-	3368809	0.024806582306582302	50
chr1	3362322	3363322		-	3363322	0.886044767704467	41
chr1	3368073	3369073		+	3369073	0.007407407407407408	57
chr1	3411176	3412176		-	3412176	0.7461544011544012	15
chr1	3411307	3412307		+	3412307	0.7461544011544012	15
chr1	3451531	3452531		+	3452531	0.07487468671679197	19
chr1	3459901	3460901		-	3460901	0.29757146849252114	45
chr1	3687889	3688889		-	3688889	0.5111456176673567	23
chr1	3924589	3925589		+	3925589	0.4422171228646135	36
chr1	3944652	3945652		+	3945652	0.18591800356506238	17
chr1	4069290	4070290		-	4070290	0.6070574162679425	19
chr1	4084213	4085213		+	4085213	0.08977688977688976	22
chr1	4167332	4168332		+	4168332	0.9162542871782002	138
chr1	4488148	4489148		+	4489148	0.26665001665001664	13
chr1	4513478	4514478		-	4514478	0.0	6
chr1	4512130	4513130		+	4513130	0.20065624734742382	28
chr1	4613412	4614412		-	4614412	0.3915767360211805	27
chr1	4647218	4648218		+	4648218	0.02030651340996168	29
chr1	4944035	4945035		+	4945035	0.056172839506172835	18
chr1	5002715	5003715		-	5003715	0.2745185679769858	58
chr1	5016028	5017028		-	5017028	0.03249007936507936	24
chr1	5202413	5203413		+	5203413	0.14105011048330884	13
chr1	5235432	5236432		-	5236432	0.678981122283926	54
chr1	5385971	5386971		-	5386971	0.8290175256841924	45
chr1	5517251	5518251		-	5518251	0.021594534497760297	31
chr1	5517501	5518501		+	5518501	0.0011655011655011642	39
chr1	5609941	5610941		+	5610941	0.7946619496913991	41
chr1	5704967	5705967		-	5705967	0.06904761904761904	14
chr1	5724241	5725241		-	5725241	0.007175925925925923	72
chr1	5730424	5731424		-	5731424	0.027722309659649808	69
chr1	5730762	5731762		+	5731762	0.005442942942942942	74
chr1	5760608	5761608		-	5761608	0.006189555125725338	47
chr1	5760883	5761883		+	5761883	0.004242424242424243	45
chr1	5768822	5769822		+	5769822	0.8215604765604765	45
chr1	5785742	5786742		-	5786742	0.016666666666666666	12
chr1	5918409	5919409		-	5919409	0.0134575569358178	23
chr1	5944560	5945560		-	5945560	0.8739727126197111	142
chr1	5949416	5950416		+	5950416	0.7044198214949066	93
chr1	5954537	5955537		-	5955537	0.8873346560846561	18
chr1	5990815	5991815		-	5991815	0.9307138597836272	43
chr1	6044736	6045736		-	6045736	0.8647460458366156	38
chr1	6079171	6080171		-	6080171	0.013636363636363636	44
chr1	6065488	6066488		+	6066488	0.9139764175254023	38
chr1	6079964	6080964		+	6080964	0.308865070430086	50
chr1	6104097	6105097		-	6105097	0.7248179850452577	33
chr1	6104657	6105657		+	6105657	0.4348594753200016	62
chr1	6127533	6128533		-	6128533	0.003267973856209149	51
chr1	6138051	6139051		-	6139051	0.2709090725687365	70
chr1	6138394	6139394		+	6139394	0.022527472527472527	39
chr1	6149531	6150531		+	6150531	0.7077621497964635	36
chr1	6226482	6227482		-	6227482	0.017035217035217032	37
chr1	6249406	6250406		+	6250406	0.8259268232184053	28
chr1	6279262	6280262		+	6280262	0.864938625408079	28
chr1	6311820	6312820		-	6312820	0.009813797313797312	42
chr1	6312293	6313293		+	6313293	0.006666666666666668	45
chr1	6355492	6356492		+	6356492	0.9143678194795438	23
chr1	6361312	6362312		-	6362312	0.9524525215346472	27
chr1	6747689	6748689		+	6748689	0.476736318562944	37
chr1	6892786	6893786		+	6893786	0.6071334402388755	27
chr1	6918140	6919140		-	6919140	0.8207919065061922	21
chr1	6969968	6970968		-	6970968	0.9372083128123044	28
chr1	7031465	7032465		+	7032465	0.7370088245088245	46
chr1	7234740	7235740		-	7235740	0.1936072699230594	57
chr1	7301341	7302341		+	7302341	0.3164747309065461	36
chr1	7314336	7315336		+	7315336	0.0	6
chr1	7357165	7358165		-	7358165	0.8985791040744603	19
chr1	7443110	7444110		-	7444110	0.8235331990540323	24
chr1	7470701	7471701		-	7471701	0.7313446969696971	8
chr1	7460207	7461207		-	7461207	0.8530456137304039	46
chr1	7491674	7492674		+	7492674	0.011927546138072452	38
chr1	7529065	7530065		+	7530065	0.9189665534059128	9
chr1	7556236	7557236		-	7557236	0.0	41
chr1	7556419	7557419		+	7557419	0.0	31
chr1	7588558	7589558		-	7589558	0.9266019326390843	19
chr1	7677721	7678721		-	7678721	0.8636413376712864	34
chr1	7719867	7720867		+	7720867	0.9248061920254433	22
chr1	7736638	7737638		-	7737638	0.9282953883686536	48
chr1	7738712	7739712		+	7739712	0.867398781642638	46
chr1	7769986	7770986		+	7770986	0.8450998821966565	31
chr1	7789407	7790407		+	7790407	0.8274833551252073	26
chr1	7823003	7824003		-	7824003	0.8803948371671388	26
chr1	7848806	7849806		+	7849806	0.934564553440413	113
chr1	8350098	8351098		-	8351098	0.0	12
chr1	7956511	7957511		+	7957511	0.09402364017748632	39
chr1	8026785	8027785		-	8027785	0.7645408277535486	27
chr1	8044490	8045490		-	8045490	0.9681051587301587	12
chr1	8282863	8283863		+	8283863	0.9261300897170465	23
chr1	8319404	8320404		-	8320404	0.7960827108621227	15
chr1	8330894	8331894		+	8331894	0.8463142369978014	24
chr1	8363571	8364571		+	8364571	0.8377756871979561	28
chr1	8411155	8412155		-	8412155	0.0	51
chr1	8399056	8400056		-	8400056	0.8972642036612625	30
chr1	8411303	8412303		+	8412303	0.0	56
chr1	8416002	8417002		-	8417002	0.8934147789411704	53
chr1	8425874	8426874		+	8426874	0.9137124035384905	25
chr1	8459578	8460578		-	8460578	0.8053949572056021	16
chr1	8478555	8479555		+	8479555	0.9058256029684602	35
chr1	8512536	8513536		-	8513536	0.8497239475500344	9
chr1	8559063	8560063		-	8560063	0.8948109668109668	25
chr1	8627240	8628240		-	8628240	0.7645636933318093	18
chr1	8615737	8616737		+	8616737	0.7312641723356009	14
chr1	8662346	8663346		-	8663346	0.0101575456053068	67
chr1	8715966	8716966		-	8716966	0.34720967045748014	47
chr1	8685082	8686082		-	8686082	0.8706030411387556	42
chr1	8715831	8716831		+	8716831	0.36338195210744223	45
chr1	8768417	8769417		+	8769417	0.31775324675324673	25
chr1	8776362	8777362		-	8777362	0.88833809665853	30
chr1	8826768	8827768		+	8827768	0.3612742885769201	26
chr1	8964305	8965305		-	8965305	0.34485123731162703	85
chr1	8973087	8974087		-	8974087	0.8822800196338207	27
chr1	9074800	9075800		+	9075800	0.31351793736674527	68
chr1	9111743	9112743		+	9112743	0.9121532865282866	20
chr1	9124254	9125254		+	9125254	0.5226864111195785	51
chr1	9149959	9150959		+	9150959	0.8130178826257257	27
chr1	9169039	9170039		+	9170039	0.23256177333980535	50
chr1	9171209	9172209		-	9172209	0.8521477493699715	27
chr1	9196358	9197358		-	9197358	0.9231461944237681	48
chr1	9204400	9205400		-	9205400	0.9107602856809514	68
chr1	9229348	9230348		-	9230348	0.21304536043666475	20
chr1	9260518	9261518		-	9261518	0.9108064774731441	27
chr1	9366444	9367444		-	9367444	0.020314253647586974	27
chr1	9322607	9323607		+	9323607	0.8903325285362674	26
chr1	9452193	9453193		-	9453193	0.07703040686911652	31
chr1	9392575	9393575		+	9393575	0.751474085647018	35
chr1	9425623	9426623		-	9426623	0.9219050007267698	26
chr1	9485296	9486296		-	9486296	0.011342226833640789	63
chr1	9484827	9485827		+	9485827	0.3843871344715064	58
chr1	9489222	9490222		+	9490222	0.9445654577620521	7
chr1	9502695	9503695		-	9503695	0.9008474736048268	20
chr1	9509288	9510288		+	9510288	0.8728413429683848	20
chr1	9540137	9541137		-	9541137	0.9164979948042462	189
chr1	9539275	9540275		+	9540275	0.85053114202489	42
chr1	9575011	9576011		+	9576011	0.3816663149081193	70
chr1	9596835	9597835		-	9597835	0.9361595547309832	7
chr1	9600726	9601726		+	9601726	0.9441869724478421	14
chr1	9705314	9706314		+	9706314	0.8781218642004595	26
chr1	9753178	9754178		+	9754178	0.02202889702889703	72
chr1	9841558	9842558		+	9842558	0.9662975912975914	13
chr1	9849058	9850058		+	9850058	0.867166949203247	10
chr1	9941672	9942672		+	9942672	0.4824251875146731	34
chr1	9973047	9974047		+	9974047	0.30092080864702364	59
chr1	9973047	9974047		+	9974047	0.30092080864702364	59
chr1	9992647	9993647		+	9993647	0.9233628055500926	51
chr1	10015137	10016137		-	10016137	0.0052772808586762044	43
chr1	10017557	10018557		+	10018557	0.47266682910201274	65
chr1	10159432	10160432		+	10160432	0.9191188296830555	49
chr1	10339363	10340363		-	10340363	0.0	22
chr1	10358374	10359374		-	10359374	0.8070298269487852	34
chr1	10438665	10439665		+	10439665	0.864248901870336	41
chr1	10461631	10462631		-	10462631	0.5906362849806017	21
chr1	10522301	10523301		-	10523301	0.7981321619556914	10
chr1	10532073	10533073		-	10533073	0.9085879487361133	21
chr1	10552913	10553913		+	10553913	0.1697536554354736	55
chr1	10587801	10588801		-	10588801	0.8880291485104318	55
chr1	10600582	10601582		-	10601582	0.008928571428571428	28
chr1	10640440	10641440		-	10641440	0.042351429664862494	67
chr1	10640245	10641245		+	10641245	0.11957683532444931	41
chr1	10803142	10804142		-	10804142	0.026708074534161488	14
chr1	10684475	10685475		+	10685475	0.9284813505208243	14
chr1	10692927	10693927		+	10693927	0.9211775272722519	14
chr1	10710200	10711200		-	10711200	0.9383590615733474	7
chr1	10729944	10730944		+	10730944	0.9368704344482891	17
chr1	10766844	10767844		+	10767844	0.9413872177658942	16
chr1	10773501	10774501		+	10774501	0.9183364254792827	14
chr1	10813790	10814790		+	10814790	0.44258151516103567	44
chr1	10819869	10820869		-	10820869	0.9070495033370973	28
chr1	10856950	10857950		-	10857950	0.7646544087720559	33
chr1	10898587	10899587		+	10899587	0.8214718817659994	37
chr1	10912328	10913328		+	10913328	0.7040149480735782	31
chr1	10936834	10937834		+	10937834	0.1838856718947217	13
chr1	10967773	10968773		-	10968773	0.8014988774826644	19
chr1	11021096	11022096		+	11022096	0.01875066966677381	61
chr1	11041412	11042412		-	11042412	0.7066429985784823	31
chr1	11152852	11153852		+	11153852	0.8522631806599196	92
chr1	11197481	11198481		-	11198481	0.7380701089124477	53
chr1	11197458	11198458		+	11198458	0.814952411924161	48
chr1	11207254	11208254		+	11208254	0.8446480092219228	57
chr1	11234885	11235885		-	11235885	0.9216701819315737	149
chr1	11229690	11230690		+	11230690	0.9208738006758116	29
chr1	11279230	11280230		+	11280230	0.22563071106930757	45
chr1	11305407	11306407		-	11306407	0.22882365123744436	37
chr1	11305278	11306278		+	11306278	0.3041586845466156	24
chr1	11322701	11323701		-	11323701	0.8800543024227236	19
chr1	11349048	11350048		-	11350048	0.07925874125874126	25
chr1	11349274	11350274		+	11350274	0.04107692307692307	25
chr1	11383399	11384399		+	11384399	0.9047461015508065	36
chr1	11390868	11391868		-	11391868	0.8414115646258505	28
chr1	11402041	11403041		-	11403041	0.20856844305120165	29
chr1	11420871	11421871		+	11421871	0.6989128295946478	22
chr1	11451259	11452259		+	11452259	0.0847851277263042	45
chr1	11453043	11454043		-	11454043	0.0082010582010582	54
chr1	11454608	11455608		+	11455608	0.8812804224143722	41
chr1	11469544	11470544		-	11470544	0.3095238095238095	6
chr1	11477836	11478836		+	11478836	0.41954256854256855	50
chr1	11523562	11524562		+	11524562	0.265113695657889	80
chr1	11562621	11563621		+	11563621	0.39491637847594135	67
chr1	11572299	11573299		+	11573299	0.9088678380443086	25
chr1	11580158	11581158		-	11581158	0.9196056799827643	32
chr1	11606441	11607441		+	11607441	0.7051966089466091	20
chr1	11621123	11622123		-	11622123	0.8745730413047036	26
chr1	11623685	11624685		-	11624685	0.5749250991081056	27
chr1	11710065	11711065		+	11711065	0.8766146477974436	45
chr1	11710113	11711113		+	11711113	0.8678715179271351	58
chr1	11719320	11720320		+	11720320	0.9052244763783226	26
chr1	11734842	11735842		+	11735842	0.34882383725021104	48
chr1	11764245	11765245		-	11765245	0.6705266955266955	16
chr1	11764407	11765407		-	11765407	0.535064935064935	10
chr1	11773165	11774165		+	11774165	0.5955013690349872	33
chr1	11912010	11913010		-	11913010	0.8752635331622403	20
chr1	11952397	11953397		-	11953397	0.9015625	8
chr1	12050388	12051388		+	12051388	0.8998851925228484	51
chr1	12068398	12069398		+	12069398	0.9612962426349851	29
chr1	12161348	12162348		-	12162348	0.0	27
chr1	12113203	12114203		-	12114203	0.9090800781595618	32
chr1	12122155	12123155		-	12123155	0.8839112874113737	44
chr1	12187231	12188231		+	12188231	0.7959614218044746	24
chr1	12251000	12252000		-	12252000	0.5629438462771794	15
chr1	12259260	12260260		+	12260260	0.7462481962481963	11
chr1	12282841	12283841		+	12283841	0.2901110463610464	10
chr1	12289297	12290297		+	12290297	0.2633699633699634	7
chr1	12317011	12318011		+	12318011	0.45531799856490246	14
chr1	12334684	12335684		+	12335684	0.41004594820384294	19
chr1	12366239	12367239		-	12367239	0.2544490231990232	26
chr1	12374422	12375422		-	12375422	0.1465928679163973	8
chr1	12384394	12385394		-	12385394	0.25	3
chr1	12391731	12392731		-	12392731	0.4998316580073387	34
chr1	12400097	12401097		+	12401097	0.43966165413533825	15
chr1	12420789	12421789		-	12421789	0.10606060606060606	11
chr1	12429160	12430160		-	12430160	0.18376068376068375	9
chr1	12441237	12442237		-	12442237	0.09722222222222221	8
chr1	12459528	12460528		+	12460528	0.10554899645808735	11
chr1	12465472	12466472		+	12466472	0.16666666666666663	3
chr1	12490489	12491489		-	12491489	0.2375	4
chr1	12498861	12499861		-	12499861	0.2666188883580188	8
chr1	12518545	12519545		+	12519545	0.6920565302144249	9
chr1	12545121	12546121		+	12546121	0.324563492063492	10
chr1	12563747	12564747		-	12564747	0.21197117983495692	15
chr1	12572753	12573753		-	12573753	0.2652149321266968	9
chr1	12578584	12579584		+	12579584	0.5095523498240889	16
chr1	12588588	12589588		+	12589588	0.16894007269777078	17
chr1	12597083	12598083		+	12598083	0.4524260461760461	12
chr1	12627804	12628804		+	12628804	0.3374819624819625	21
chr1	12638975	12639975		+	12639975	0.34315221815221814	6
chr1	12665468	12666468		-	12666468	0.2119047619047619	10
chr1	12686069	12687069		+	12687069	0.4305555555555555	6
chr1	12694430	12695430		+	12695430	0.09953703703703703	6
chr1	12715861	12716861		-	12716861	0.4356737012987013	8
chr1	12719465	12720465		-	12720465	0.16601307189542483	3
chr1	12743775	12744775		+	12744775	0.0111111111111111	6
chr1	12755817	12756817		+	12756817	0.04101731601731601	14
chr1	12764211	12765211		+	12765211	0.25802005012531326	7
chr1	12787341	12788341		-	12788341	0.5935819231273777	11
chr1	12812221	12813221		-	12813221	0.727562896041157	23
chr1	12829907	12830907		+	12830907	0.8309226190476192	20
chr1	12850718	12851718		+	12851718	0.59982156550784	18
chr1	12954917	12955917		-	12955917	0.4044565302027988	67
chr1	12928460	12929460		+	12929460	0.9094090310394659	37
chr1	12954133	12955133		+	12955133	0.7474190112487985	47
chr1	12995938	12996938		+	12996938	0.9146178725626358	41
chr1	13024716	13025716		+	13025716	0.6671737467325703	75
chr1	13064220	13065220		-	13065220	0.8063690476190477	16
chr1	13111257	13112257		+	13112257	0.8774955436720142	8
chr1	13132949	13133949		-	13133949	0.9136058008700636	19
chr1	13137281	13138281		-	13138281	0.8610884819992146	36
chr1	13141269	13142269		+	13142269	0.4634964663397816	87
chr1	13334003	13335003		+	13335003	0.8108249593543712	28
chr1	13565506	13566506		-	13566506	0.3920569509855224	14
chr1	13643112	13644112		+	13644112	0.383737703835743	18
chr1	13724682	13725682		+	13725682	0.02315656565656565	20
chr1	13861125	13862125		-	13862125	0.6530537804347326	63
chr1	13935618	13936618		+	13936618	0.6005300255300255	11
chr1	14135448	14136448		-	14136448	0.8456285538156884	27
chr1	14248223	14249223		-	14249223	0.5204336173086173	24
chr1	14276078	14277078		-	14277078	0.7324602064602064	25
chr1	14354694	14355694		-	14355694	0.8910272677514055	29
chr1	14366864	14367864		-	14367864	0.7764154876926616	24
chr1	14595533	14596533		-	14596533	0.3429092897842898	24
chr1	14595634	14596634		+	14596634	0.18031697834329413	38
chr1	14614688	14615688		-	14615688	0.9521410129754668	31
chr1	14636229	14637229		-	14637229	0.9048585560780683	41
chr1	14669707	14670707		+	14670707	0.8083243145743145	18
chr1	14679875	14680875		+	14680875	0.8800358065169579	44
chr1	14735303	14736303		-	14736303	0.8488671023965141	17
chr1	14766734	14767734		-	14767734	0.7872332795409717	26
chr1	14787532	14788532		-	14788532	0.7157474747474748	25
chr1	14784575	14785575		-	14785575	0.7701326451326451	21
chr1	14856061	14857061		-	14857061	0.7635989010989012	26
chr1	14853636	14854636		+	14854636	0.13062869148395465	30
chr1	14882157	14883157		+	14883157	0.7711105633571645	36
chr1	14900449	14901449		+	14901449	0.901158178321061	27
chr1	14911205	14912205		-	14912205	0.9222333040960491	45
chr1	14919803	14920803		+	14920803	0.9207112117328834	19
chr1	14968610	14969610		-	14969610	0.0	9
chr1	14970545	14971545		+	14971545	0.005718954248366011	54
chr1	14985863	14986863		+	14986863	0.8974858474858476	13
chr1	15028763	15029763		-	15029763	0.8468341463677284	134
chr1	15047254	15048254		-	15048254	0.22546333874458874	32
chr1	15048238	15049238		+	15049238	0.41237173293172064	82
chr1	15051857	15052857		-	15052857	0.893183305704932	34
chr1	15058658	15059658		-	15059658	0.8785458147416056	27
chr1	15061170	15062170		+	15062170	0.15026314253771686	24
chr1	15103443	15104443		+	15104443	0.9005862193362193	8
chr1	15125235	15126235		+	15126235	0.7781196581196582	15
chr1	15179995	15180995		+	15180995	0.9748964803312631	23
chr1	15193630	15194630		-	15194630	0.834661743485273	34
chr1	15186235	15187235		+	15187235	0.5557578480621382	21
chr1	15200377	15201377		+	15201377	0.8346820209565307	27
chr1	15236487	15237487		+	15237487	0.37638046110268336	54
chr1	15251417	15252417		-	15252417	0.8863310178790544	37
chr1	15288413	15289413		-	15289413	0.007482229704451926	27
chr1	15287972	15288972		+	15288972	0.20420174038896183	57
chr1	15351166	15352166		+	15352166	0.8564871589252393	27
chr1	15416408	15417408		-	15417408	0.01574829931972789	35
chr1	15390210	15391210		+	15391210	0.8996920363587029	45
chr1	15444551	15445551		+	15445551	0.8163514894051227	51
chr1	15459905	15460905		-	15460905	0.8932638069001706	33
chr1	15462346	15463346		+	15463346	0.6781835671638303	32
chr1	15480327	15481327		-	15481327	0.8619739387596531	28
chr1	15484084	15485084		+	15485084	0.752726201002063	29
chr1	15514031	15515031		-	15515031	0.2633333333333333	10
chr1	15596465	15597465		-	15597465	0.007498453927025354	77
chr1	15595610	15596610		+	15596610	0.3929354107858488	47
chr1	15652982	15653982		-	15653982	0.7094497863247863	20
chr1	15667266	15668266		-	15668266	0.8840384675523995	56
chr1	15677517	15678517		-	15678517	0.12077138547726782	34
chr1	15681773	15682773		-	15682773	0.7647869674185465	19
chr1	15792999	15793999		-	15793999	0.0066530822674489955	69
chr1	15807776	15808776		+	15808776	0.3887281719415981	38
chr1	15810083	15811083		-	15811083	0.6005126260415538	26
chr1	15878521	15879521		-	15879521	0.7462955205699013	16
chr1	15881404	15882404		+	15882404	0.44672561899772	49
chr1	15901632	15902632		+	15902632	0.8793027726338064	38
chr1	15933359	15934359		-	15934359	0.8558083932069734	29
chr1	15954982	15955982		-	15955982	0.006820436507936507	56
chr1	15961356	15962356		-	15962356	0.8687087169358384	44
chr1	15976350	15977350		-	15977350	0.5792976152943381	109
chr1	15974922	15975922		-	15975922	0.9076251060441285	61
chr1	15976048	15977048		-	15977048	0.580962214377247	108
chr1	15979683	15980683		+	15980683	0.8225859392800182	16
chr1	15986707	15987707		-	15987707	0.616255721556197	56
chr1	15988430	15989430		-	15989430	0.49182327429639255	18
chr1	15989606	15990606		+	15990606	0.8843999909174872	70
chr1	16105917	16106917		-	16106917	0.944404761904762	20
